Year,Office,County,Party,Votes,Percent,GEOID20,
2022,Governor,ADAMS,All,46459,100.00,42001,
2022,Governor,ALLEGHENY,All,572813,100.00,42003,
2022,Governor,ARMSTRONG,All,28457,100.00,42005,
2022,Governor,BEAVER,All,73262,100.00,42007, 
2022,Governor,BEDFORD,All,22220,100.00,42009,
2022,Governor,BERKS,All,153443,100.00,42011,
2022,Governor,BLAIR,All,50334,100.00,42013,
2022,Governor,BRADFORD,All,23479,100.00,42015,
2022,Governor,BUCKS,All,314025,100.00,42017,
2022,Governor,BUTLER,All,93461,100.00,42019,
2022,Governor,CAMBRIA,All,56281,100.00,42021,
2022,Governor,CAMERON,All,1890,100.00,42023,
2022,Governor,CARBON,All,26264,100.00,42025,
2022,Governor,CENTRE,All,62017,100.00,42027,
2022,Governor,CHESTER,All,258025,100.00,42029,
2022,Governor,CLARION,All,15407,100.00,42031,
2022,Governor,CLEARFIELD,All,31411,100.00,42033,
2022,Governor,CLINTON,All,14073,100.00,42035,
2022,Governor,COLUMBIA,All,24703,100.00,42037,
2022,Governor,CRAWFORD,All,32829,100.00,42039,
2022,Governor,CUMBERLAND,All,116002,100.00,42041,
2022,Governor,DAUPHIN,All,114398,100.00,42043,
2022,Governor,DELAWARE,All,250855,100.00,42045,
2022,Governor,ELK,All,13678,100.00,42047,
2022,Governor,ERIE,All,105599,100.00,42049,
2022,Governor,FAYETTE,All,46877,100.00,42051,
2022,Governor,FOREST,All,2192,100.00,42053,
2022,Governor,FRANKLIN,All,65350,100.00,42055,
2022,Governor,FULTON,All,6287,100.00,42057,
2022,Governor,GREENE,All,13139,100.00,42059,
2022,Governor,HUNTINGDON,All,18448,100.00,42061,
2022,Governor,INDIANA,All,32742,100.00,42063,
2022,Governor,JEFFERSON,All,17820,100.00,42065,
2022,Governor,JUNIATA,All,9768,100.00,42067,
2022,Governor,LACKAWANNA,All,88843,100.00,42069,
2022,Governor,LANCASTER,All,224268,100.00,42071,
2022,Governor,LAWRENCE,All,36294,100.00,42073,
2022,Governor,LEBANON,All,56466,100.00,42075,
2022,Governor,LEHIGH,All,136334,100.00,42077,
2022,Governor,LUZERNE,All,116064,100.00,42079,
2022,Governor,LYCOMING,All,46285,100.00,42081,
2022,Governor,McKEAN,All,14712,100.00,42083,
2022,Governor,MERCER,All,45331,100.00,42085,
2022,Governor,MIFFLIN,All,16847,100.00,42087,
2022,Governor,MONROE,All,58827,100.00,42089,
2022,Governor,MONTGOMERY,All,413016,100.00,42091,
2022,Governor,MONTOUR,All,7857,100.00,42093,
2022,Governor,NORTHAMPTON,All,129901,100.00,42095,
2022,Governor,NORTHUMBERLAND,All,32951,100.00,42097,
2022,Governor,PERRY,All,20240,100.00,42099,
2022,Governor,PHILADELPHIA,All,498260,100.00,42101,
2022,Governor,PIKE,All,25133,100.00,42103,
2022,Governor,POTTER,All,7105,100.00,42105,
2022,Governor,SCHUYLKILL,All,55435,100.00,42107,
2022,Governor,SNYDER,All,15360,100.00,42109,
2022,Governor,SOMERSET,All,32576,100.00,42111,
2022,Governor,SULLIVAN,All,3023,100.00,42113,
2022,Governor,SUSQUEHANNA,All,17316,100.00,42115,
2022,Governor,TIOGA,All,16658,100.00,42117,
2022,Governor,UNION,All,16113,100.00,42119,
2022,Governor,VENANGO,All,20919,100.00,42121,
2022,Governor,WARREN,All,16064,100.00,42123,
2022,Governor,WASHINGTON,All,93617,100.00,42125,
2022,Governor,WAYNE,All,22743,100.00,42127,
2022,Governor,WESTMORELAND,All,167971,100.00,42129,
2022,Governor,WYOMING,All,11777,100.00,42131,
2022,Governor,YORK,All,186476,100.00,42133,
2022,State House Representative,ADAMS,All,43388,100.00,42001,
